"age","Added.sugars","Beans.and.legumes","Calcium","Cheese","Coffee","Dietary.cholesterol","Dietary.fiber","Dietary.sodium","Eggs","Fruit.juices","Fruits","Iodine","Iron","Magnesium","Monounsaturated.fatty.acids","Non.starchy.vegetables","Nuts.and.seeds","Other.starchy.vegetables","Plant.omega.3.fat","Potassium","Potatoes","Refined.grains","Saturated.fat","Seafood.omega.3.fat","Selenium","Sugar.sweetened.beverages","Tea","Total.carbohydrates","Total.Milk","Total.omega.6.fat","Total.processed.meats","Total.protein","Total.seafoods","Unprocessed.red.meats","Vitamin.A.with.supplements","Vitamin.B1","Vitamin.B12","Vitamin.B2","Vitamin.B3","Vitamin.B6","Vitamin.B9..Folate.","Vitamin.C","Vitamin.D","Vitamin.E","Whole.grains","Yoghurt..including.fermented.milk.","Zinc"
0.5,1.20876633582059,2.75479835270552,621.121557321327,4.05124999016679,0.208416246921332,43.6336925475818,9.03749159539038,321.474374185704,3.49850704004638,10.1365430596041,79.739911546027,54.0706787295467,7.3905954400848,105.333157184358,13.4229492748109,24.8281526957695,1.09536498456946,9.35455528405745,517.515995525004,1797.09058731548,13.8832240355158,3.2290906551846,18.4407638824015,153.123095251534,19.2923837645094,4.96207057751581,1.45924360021502,49.8532916230211,177.338155969867,2.69330634196582,0.801184253537035,24.6724475112097,2.62054308398774,5.77701121805297,872.223110919793,0.586316358933932,1.84934258279695,1.13889273480888,6.08887248311912,0.531296991235147,149.622599494693,73.10390691649,6.40003248742281,5.37601081991656,12.4710806665388,94.5214480101688,4.76012530465325
1.5,2.95087190048337,4.22612652002941,721.319702080141,8.41646259134041,0.190705859180305,67.8199927650771,13.0791636466269,569.400771995018,5.60788738005546,13.9185580837134,64.9139714871129,67.8664612217157,8.47852046396528,144.791250587353,13.027598253183,30.5408807278047,1.9752453504076,8.46656565716505,717.882437370034,2281.2630709603,25.3564722991472,6.26660170407806,17.0082630133265,173.661338872428,30.1639649753856,15.3071799130877,1.45987048866401,50.5277325673677,181.787403531395,2.70148799582725,1.61427901735223,38.3058630454844,4.91511772453594,13.3339571879677,861.266804788736,0.77608103369071,2.4836345624245,1.39130400987561,8.72711482094715,0.769890678509813,186.095920430867,75.7854198633132,5.21015581125131,5.98788674469412,16.5643194584614,77.7657759678187,6.164165975495
3.5,5.36893181957989,5.89197721307149,808.955526486724,14.8722002330295,0.178036875134796,95.3949992337022,17.3982055885781,883.616632612021,8.05135034237051,17.849800745906,55.482638016247,77.0427032229268,9.40405013782522,183.555436188655,12.5380808561289,35.8213945804463,3.10836703364872,8.15004153016334,920.679629325224,2735.73345996671,40.3692490949396,10.4180534551773,15.9322525333029,191.30332102977,46.9946044385445,36.4466080179757,1.45949876969681,51.0625399196972,185.458537375439,2.70739003475346,2.76473563622597,53.8639025624085,7.96610414190238,25.4435962954199,854.577313389739,0.957368009858982,3.1434559209718,1.61163155191755,11.4792225668774,1.02747876932512,218.978570614693,77.1116754398561,4.36912346459834,6.50669089292062,20.6349950270356,68.0472319646919,7.57669842780126
7.5,8.27918738549864,7.94348756488556,895.775171018646,24.5527996850921,0.171740847390098,129.326205811308,22.4384256025688,1305.50852827742,11.1137641276801,22.1295092791962,48.4666133816058,88.0671952953513,10.3461872837174,229.902656279761,12.1261005730218,41.5686387477498,4.66296456950517,7.61635372396964,1144.46939674803,3220.95428334706,61.0320324869941,16.385206938782,15.0034439239063,210.306353263567,64.8542852320532,78.6946527252334,1.46782341983722,51.447084231685,187.21163207047,2.71328522998197,4.46097055982295,72.8005288896559,12.3576619814652,45.2740526131111,848.038905744383,1.15785593293331,3.80719334147355,1.82272996213586,14.7285979155565,1.31976920437934,254.179925324099,79.0509753988189,3.72734818123522,7.00376892752768,25.0820675466825,58.17831713947,9.05812512167085
12.5,9.99000354762415,9.88314517115721,944.179880738105,31.6725380896113,0.216457259847543,155.864533559218,26.2147395520935,1623.64592695192,13.5202443742766,23.5385794572023,47.4192875340665,92.603036740095,11.0688507112002,262.573872050293,12.0808331861481,48.9753462097319,5.94501170299417,7.93826794703838,1315.48326177343,3586.72285544884,75.8975659040038,21.0874407647746,14.5274613652703,240.361712746369,78.1670795391597,116.485002001604,1.51933906221443,51.1940338231137,176.476357353299,2.72121031952799,5.75774945995595,87.0905910769465,16.7740919075509,63.7631692222841,850.968301503431,1.2902458875283,4.25848011557859,1.94303874593574,17.2207726841534,1.52832922188156,278.564993100243,80.4084003616126,3.50250682475643,7.52140879658893,27.9444997638544,54.9404255951349,10.1245328239563
17.5,10.2643663460886,11.6579978938231,959.454466191773,34.6699306470693,0.334568665885584,172.823497115298,28.5474787565098,1781.08852072687,14.8699782452265,22.3582865308423,50.4310937095467,163.833509007444,11.4844284397372,285.634331560111,12.3110251616469,58.5068206869217,6.76521907615546,8.51396947077649,1436.04132820581,3837.33304075871,82.1142255371514,23.5428695965056,14.3517330030822,285.113859680684,87.9356368868907,131.698630419833,1.60090412495047,50.2935317358719,157.988842874054,2.73082807077982,6.34963347697303,94.9708382739705,20.7673880528176,76.0205205322692,870.349613135203,1.34921093286679,4.46363158266605,2.07101437715166,18.9171758337983,1.63320670215883,292.914000189505,81.9047100083702,3.4848362589308,8.02457203877505,29.2945380294009,55.1442657403049,10.8339327932247
22.5,9.89714903608612,13.3891979781061,957.806498806221,35.258172737999,0.56970366756377,183.952226293917,30.0547847737167,1842.80756136138,15.7047136287725,20.0874300596332,55.6424886836456,168.438139895972,11.8041566971564,301.81662020512,12.5267947466796,70.1092011450552,7.27664577885086,9.52889841864982,1484.88757407514,4010.90226046331,82.9990373129732,24.5450406381212,14.3140554518948,343.142966356821,89.8070809431964,130.695568865778,1.69362387120418,49.1951905967999,138.106981674323,2.74099834583882,6.49222503868156,99.0085184899395,24.6277500691427,83.8087323895242,875.828720702629,1.36451749280966,4.53864960652273,2.08023399126415,19.8879174945569,1.69079482998885,301.47730294414,83.6486515988914,3.52247970879305,8.43313290917733,29.832577569494,56.012516040429,11.239638233682
27.5,9.41644100458062,14.9282997258656,948.852567113729,35.0446315160626,0.954737540347058,191.094147422856,31.0255289307263,1853.02281403281,16.1446976420807,17.8371862960658,61.9539847805806,179.152533381864,12.1503410143022,311.276333358667,12.7007868623663,82.4602450035223,7.59244211738713,10.5228310851297,1527.51575657364,4126.53396826081,81.7719362579693,24.7114438874597,14.336400505157,407.81466421134,93.7087401275514,121.430503958213,1.79278949526735,48.0622339356626,121.769628529505,2.75036058496733,6.41071214300741,101.056897158918,28.1609428067428,88.199859425126,899.467594388615,1.36702097913714,4.57108438705762,2.08461373214446,20.5825108409097,1.71317283087429,306.808365433542,85.0419915017756,3.59191120212322,8.84441392891306,30.0867515799987,56.9295495315426,11.5405585892987
32.5,8.73600856638203,16.0569337000045,938.231423760094,34.3841510570343,1.45107592004436,195.312154190581,31.7148636727872,1836.34163257736,16.5183227801641,16.0916396745402,68.5078854280783,185.026622166994,12.2809794206548,318.163476227389,13.0889062794615,93.9383121861217,7.78560979999321,11.7070262794359,1555.12374745856,4222.84144361355,80.3176581583971,24.3799727650416,14.3814578152519,469.085206711408,95.8957766810846,108.721824443479,1.88455113270298,47.1894305068607,110.967138305122,2.75816432428655,6.22752061200579,101.4884110399,31.1462186976535,90.055945687323,911.825848484589,1.35416363673222,4.53791625677484,2.06914020360151,20.9167007355293,1.72224598820556,309.612313162948,86.4584140188217,3.72071496603195,9.15267106072904,30.5193714236481,58.6408713601038,11.6956483484353
37.5,8.06072838172623,16.7074537266505,927.653756424369,33.0036027835693,1.98074139281032,197.356514856869,32.2187304924476,1812.41264055763,16.7267952296679,14.811204307321,74.5007590515063,184.980513103937,12.3694081462916,323.897712287519,13.0832078340482,102.928118871701,7.91111625547941,12.728093295359,1581.83322724823,4300.5422520444,79.5326444769716,23.8792082290408,14.4206376961064,520.245543270449,92.4859089988334,95.6542053079702,1.96638556640508,46.5100546109581,104.703465489614,2.76376005699532,6.03914356416007,101.017904681236,33.4769157285912,90.3201898909795,939.423080201221,1.35363978555482,4.54513087659593,2.06760336468693,21.0485616618933,1.71545698577894,313.003771111494,87.7769923727769,3.75686591558693,9.32416140735781,31.2000037008591,59.2739843463112,11.7057431978206
